zone,zone_name,municipality,year,accidents
1,Al Jasra 01,Doha Municipality,2020,505
1,Al Jasra 01,Doha Municipality,2021,756
1,Al Jasra 01,Doha Municipality,2022,812
1,Al Jasra 01,Doha Municipality,2023,625
1,Al Jasra 01,Doha Municipality,2024,617
1,Al Jasra 01,Doha Municipality,2025,131
2,Al Bidda 02,Doha Municipality,2020,152
2,Al Bidda 02,Doha Municipality,2021,182
2,Al Bidda 02,Doha Municipality,2022,213
2,Al Bidda 02,Doha Municipality,2023,147
2,Al Bidda 02,Doha Municipality,2024,185
2,Al Bidda 02,Doha Municipality,2025,32
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2020,260
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2021,322
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2022,447
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2023,433
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2024,506
3,Fereej Mohammed Bin Jasim - Mushaireb 03,Doha Municipality,2025,113
4,Mushaireb 04,Doha Municipality,2020,585
4,Mushaireb 04,Doha Municipality,2021,803
4,Mushaireb 04,Doha Municipality,2022,1628
4,Mushaireb 04,Doha Municipality,2023,1267
4,Mushaireb 04,Doha Municipality,2024,1057
4,Mushaireb 04,Doha Municipality,2025,191
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2020,585
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2021,587
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2022,500
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2023,365
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2024,272
5,Al Najada - Brahat Al Jufairy - Fereej Al Asmakh 05,Doha Municipality,2025,45
6,Old Al Ghanim 06,Doha Municipality,2020,704
6,Old Al Ghanim 06,Doha Municipality,2021,795
6,Old Al Ghanim 06,Doha Municipality,2022,660
6,Old Al Ghanim 06,Doha Municipality,2023,427
6,Old Al Ghanim 06,Doha Municipality,2024,392
6,Old Al Ghanim 06,Doha Municipality,2025,62
7,Al Souq 07,Doha Municipality,2020,787
7,Al Souq 07,Doha Municipality,2021,822
7,Al Souq 07,Doha Municipality,2022,959
7,Al Souq 07,Doha Municipality,2023,714
7,Al Souq 07,Doha Municipality,2024,674
7,Al Souq 07,Doha Municipality,2025,108
12,Al Bidda 12,Doha Municipality,2020,637
12,Al Bidda 12,Doha Municipality,2021,735
12,Al Bidda 12,Doha Municipality,2022,951
12,Al Bidda 12,Doha Municipality,2023,838
12,Al Bidda 12,Doha Municipality,2024,916
12,Al Bidda 12,Doha Municipality,2025,136
13,Mushaireb 13,Doha Municipality,2020,878
13,Mushaireb 13,Doha Municipality,2021,1106
13,Mushaireb 13,Doha Municipality,2022,1272
13,Mushaireb 13,Doha Municipality,2023,1172
13,Mushaireb 13,Doha Municipality,2024,1220
13,Mushaireb 13,Doha Municipality,2025,194
14,Fereej Abdel Aziz 14,Doha Municipality,2020,922
14,Fereej Abdel Aziz 14,Doha Municipality,2021,1005
14,Fereej Abdel Aziz 14,Doha Municipality,2022,1225
14,Fereej Abdel Aziz 14,Doha Municipality,2023,1017
14,Fereej Abdel Aziz 14,Doha Municipality,2024,1022
14,Fereej Abdel Aziz 14,Doha Municipality,2025,158
15,Al Doha Al Jadeeda 15,Doha Municipality,2020,780
15,Al Doha Al Jadeeda 15,Doha Municipality,2021,981
15,Al Doha Al Jadeeda 15,Doha Municipality,2022,992
15,Al Doha Al Jadeeda 15,Doha Municipality,2023,762
15,Al Doha Al Jadeeda 15,Doha Municipality,2024,820
15,Al Doha Al Jadeeda 15,Doha Municipality,2025,127
16,Old Al Ghanim 16,Doha Municipality,2020,712
16,Old Al Ghanim 16,Doha Municipality,2021,1018
16,Old Al Ghanim 16,Doha Municipality,2022,1019
16,Old Al Ghanim 16,Doha Municipality,2023,624
16,Old Al Ghanim 16,Doha Municipality,2024,771
16,Old Al Ghanim 16,Doha Municipality,2025,145
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2020,420
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2021,612
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2022,588
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2023,448
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2024,491
17,Al Rufaa - Old Al Hitmi 17,Doha Municipality,2025,87
18,Slata - Al Mirqab 18,Doha Municipality,2020,631
18,Slata - Al Mirqab 18,Doha Municipality,2021,1001
18,Slata - Al Mirqab 18,Doha Municipality,2022,1044
18,Slata - Al Mirqab 18,Doha Municipality,2023,836
18,Slata - Al Mirqab 18,Doha Municipality,2024,869
18,Slata - Al Mirqab 18,Doha Municipality,2025,134
19,Zone 19,Doha Municipality,2020,232
19,Zone 19,Doha Municipality,2021,290
19,Zone 19,Doha Municipality,2022,365
19,Zone 19,Doha Municipality,2023,455
19,Zone 19,Doha Municipality,2024,474
19,Zone 19,Doha Municipality,2025,122
20,Wadi Al Sail 20,Doha Municipality,2020,514
20,Wadi Al Sail 20,Doha Municipality,2021,734
20,Wadi Al Sail 20,Doha Municipality,2022,895
20,Wadi Al Sail 20,Doha Municipality,2023,835
20,Wadi Al Sail 20,Doha Municipality,2024,934
20,Wadi Al Sail 20,Doha Municipality,2025,166
21,Rumaila 21,Doha Municipality,2020,678
21,Rumaila 21,Doha Municipality,2021,880
21,Rumaila 21,Doha Municipality,2022,959
21,Rumaila 21,Doha Municipality,2023,938
21,Rumaila 21,Doha Municipality,2024,1287
21,Rumaila 21,Doha Municipality,2025,214
22,Fereej Bin Mahmoud 22,Doha Municipality,2020,807
22,Fereej Bin Mahmoud 22,Doha Municipality,2021,1184
22,Fereej Bin Mahmoud 22,Doha Municipality,2022,1138
22,Fereej Bin Mahmoud 22,Doha Municipality,2023,947
22,Fereej Bin Mahmoud 22,Doha Municipality,2024,1104
22,Fereej Bin Mahmoud 22,Doha Municipality,2025,211
23,Fereej Bin Mahmoud 23,Doha Municipality,2020,1507
23,Fereej Bin Mahmoud 23,Doha Municipality,2021,2206
23,Fereej Bin Mahmoud 23,Doha Municipality,2022,2315
23,Fereej Bin Mahmoud 23,Doha Municipality,2023,2151
23,Fereej Bin Mahmoud 23,Doha Municipality,2024,2142
23,Fereej Bin Mahmoud 23,Doha Municipality,2025,330
24,Rawdat Al Khail 24,Doha Municipality,2020,1825
24,Rawdat Al Khail 24,Doha Municipality,2021,2423
24,Rawdat Al Khail 24,Doha Municipality,2022,2938
24,Rawdat Al Khail 24,Doha Municipality,2023,2691
24,Rawdat Al Khail 24,Doha Municipality,2024,2861
24,Rawdat Al Khail 24,Doha Municipality,2025,510
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2020,2384
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2021,2906
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2022,3480
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2023,3309
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2024,3147
25,Al Mansoura - Fereej Bin Dirham 25,Doha Municipality,2025,472
26,Najma 26,Doha Municipality,2020,2480
26,Najma 26,Doha Municipality,2021,2651
26,Najma 26,Doha Municipality,2022,2973
26,Najma 26,Doha Municipality,2023,2280
26,Najma 26,Doha Municipality,2024,2096
26,Najma 26,Doha Municipality,2025,356
27,Umm Ghuwailina 27,Doha Municipality,2020,1637
27,Umm Ghuwailina 27,Doha Municipality,2021,1974
27,Umm Ghuwailina 27,Doha Municipality,2022,2192
27,Umm Ghuwailina 27,Doha Municipality,2023,1980
27,Umm Ghuwailina 27,Doha Municipality,2024,2075
27,Umm Ghuwailina 27,Doha Municipality,2025,360
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2020,182
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2021,269
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2022,321
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2023,305
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2024,296
28,Al Khulaifat - Ras Bu Abboud 28,Doha Municipality,2025,44
29,Ras Bu Abboud 29,Doha Municipality,2020,167
29,Ras Bu Abboud 29,Doha Municipality,2021,172
29,Ras Bu Abboud 29,Doha Municipality,2022,230
29,Ras Bu Abboud 29,Doha Municipality,2023,162
29,Ras Bu Abboud 29,Doha Municipality,2024,148
29,Ras Bu Abboud 29,Doha Municipality,2025,29
30,Duhail 30,Doha Municipality,2020,1927
30,Duhail 30,Doha Municipality,2021,2473
30,Duhail 30,Doha Municipality,2022,2823
30,Duhail 30,Doha Municipality,2023,2768
30,Duhail 30,Doha Municipality,2024,2800
30,Duhail 30,Doha Municipality,2025,515
31,Umm Lekhba 31,Doha Municipality,2020,1342
31,Umm Lekhba 31,Doha Municipality,2021,2133
31,Umm Lekhba 31,Doha Municipality,2022,2987
31,Umm Lekhba 31,Doha Municipality,2023,2343
31,Umm Lekhba 31,Doha Municipality,2024,2781
31,Umm Lekhba 31,Doha Municipality,2025,507
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2020,1826
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2021,2504
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2022,2466
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2023,2290
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2024,2856
32,Madinat Khalifa North - Dahl Al Hamam 32,Doha Municipality,2025,446
33,Al Markhiya 33,Doha Municipality,2020,1197
33,Al Markhiya 33,Doha Municipality,2021,1631
33,Al Markhiya 33,Doha Municipality,2022,1638
33,Al Markhiya 33,Doha Municipality,2023,1391
33,Al Markhiya 33,Doha Municipality,2024,1310
33,Al Markhiya 33,Doha Municipality,2025,253
34,Madinat Khalifa South 34,Doha Municipality,2020,6155
34,Madinat Khalifa South 34,Doha Municipality,2021,7932
34,Madinat Khalifa South 34,Doha Municipality,2022,8758
34,Madinat Khalifa South 34,Doha Municipality,2023,8915
34,Madinat Khalifa South 34,Doha Municipality,2024,7721
34,Madinat Khalifa South 34,Doha Municipality,2025,1230
35,Fereej Kulaib 35,Doha Municipality,2020,671
35,Fereej Kulaib 35,Doha Municipality,2021,1476
35,Fereej Kulaib 35,Doha Municipality,2022,1062
35,Fereej Kulaib 35,Doha Municipality,2023,964
35,Fereej Kulaib 35,Doha Municipality,2024,1116
35,Fereej Kulaib 35,Doha Municipality,2025,211
36,Al Messila 36,Doha Municipality,2020,1163
36,Al Messila 36,Doha Municipality,2021,1525
36,Al Messila 36,Doha Municipality,2022,1740
36,Al Messila 36,Doha Municipality,2023,1549
36,Al Messila 36,Doha Municipality,2024,1538
36,Al Messila 36,Doha Municipality,2025,229
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2020,2679
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2021,3398
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2022,3552
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2023,3551
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2024,3553
37,Fereej Bin Omran - New Al Hitmi - Hamad Medical City 37,Doha Municipality,2025,483
38,Al Sadd 38,Doha Municipality,2020,2833
38,Al Sadd 38,Doha Municipality,2021,2634
38,Al Sadd 38,Doha Municipality,2022,2897
38,Al Sadd 38,Doha Municipality,2023,2699
38,Al Sadd 38,Doha Municipality,2024,2967
38,Al Sadd 38,Doha Municipality,2025,468
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2020,2916
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2021,4065
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2022,4571
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2023,4290
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2024,4589
39,Al Sadd - New Al Mirqab - Fereej Al Nasr 39,Doha Municipality,2025,717
40,New Slata 40,Doha Municipality,2020,1698
40,New Slata 40,Doha Municipality,2021,2723
40,New Slata 40,Doha Municipality,2022,2978
40,New Slata 40,Doha Municipality,2023,2627
40,New Slata 40,Doha Municipality,2024,2960
40,New Slata 40,Doha Municipality,2025,521
41,Nuaija 41,Doha Municipality,2020,613
41,Nuaija 41,Doha Municipality,2021,855
41,Nuaija 41,Doha Municipality,2022,1008
41,Nuaija 41,Doha Municipality,2023,840
41,Nuaija 41,Doha Municipality,2024,954
41,Nuaija 41,Doha Municipality,2025,134
42,Al Hilal 42,Doha Municipality,2020,1383
42,Al Hilal 42,Doha Municipality,2021,1728
42,Al Hilal 42,Doha Municipality,2022,1750
42,Al Hilal 42,Doha Municipality,2023,1644
42,Al Hilal 42,Doha Municipality,2024,1526
42,Al Hilal 42,Doha Municipality,2025,257
43,Nuaija 43,Doha Municipality,2020,1861
43,Nuaija 43,Doha Municipality,2021,2390
43,Nuaija 43,Doha Municipality,2022,2739
43,Nuaija 43,Doha Municipality,2023,2936
43,Nuaija 43,Doha Municipality,2024,2929
43,Nuaija 43,Doha Municipality,2025,454
44,Nuaija 44,Doha Municipality,2020,854
44,Nuaija 44,Doha Municipality,2021,1206
44,Nuaija 44,Doha Municipality,2022,1401
44,Nuaija 44,Doha Municipality,2023,1377
44,Nuaija 44,Doha Municipality,2024,1721
44,Nuaija 44,Doha Municipality,2025,245
45,Old Airport 45,Doha Municipality,2020,8732
45,Old Airport 45,Doha Municipality,2021,12785
45,Old Airport 45,Doha Municipality,2022,7526
45,Old Airport 45,Doha Municipality,2023,6550
45,Old Airport 45,Doha Municipality,2024,6993
45,Old Airport 45,Doha Municipality,2025,1018
46,Al Thumama 46,Doha Municipality,2020,1041
46,Al Thumama 46,Doha Municipality,2021,1828
46,Al Thumama 46,Doha Municipality,2022,2027
46,Al Thumama 46,Doha Municipality,2023,1856
46,Al Thumama 46,Doha Municipality,2024,2310
46,Al Thumama 46,Doha Municipality,2025,365
47,Al Thumama 47,Doha Municipality,2020,990
47,Al Thumama 47,Doha Municipality,2021,1356
47,Al Thumama 47,Doha Municipality,2022,1451
47,Al Thumama 47,Doha Municipality,2023,1300
47,Al Thumama 47,Doha Municipality,2024,1519
47,Al Thumama 47,Doha Municipality,2025,245
48,Doha International Airport 48,Doha Municipality,2020,649
48,Doha International Airport 48,Doha Municipality,2021,919
48,Doha International Airport 48,Doha Municipality,2022,1066
48,Doha International Airport 48,Doha Municipality,2023,960
48,Doha International Airport 48,Doha Municipality,2024,1090
48,Doha International Airport 48,Doha Municipality,2025,156
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2020,615
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2021,1009
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2022,1400
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2023,1143
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2024,1335
49,Hamad International Airport - Banana Island - Ras Bu Funtas 49,Doha Municipality,2025,210
50,Al Thumama 50,Doha Municipality,2020,263
50,Al Thumama 50,Doha Municipality,2021,427
50,Al Thumama 50,Doha Municipality,2022,525
50,Al Thumama 50,Doha Municipality,2023,505
50,Al Thumama 50,Doha Municipality,2024,643
50,Al Thumama 50,Doha Municipality,2025,116
51,Al Gharrafa - Gharrafat Al Rayyan - Izghawa - Bani Hajer - Al Seej - Rawdat Egdaim - Al Themaid 51,Al Rayyan Municipality,2020,5741
51,Al Gharrafa - Gharrafat Al Rayyan - Izghawa - Bani Hajer - Al Seej - Rawdat Egdaim - Al Themaid 51,Al Rayyan Municipality,2021,6978
51,Al Gharrafa - Gharrafat Al Rayyan - Izghawa - Bani Hajer - Al Seej - Rawdat Egdaim - Al Themaid 51,Al Rayyan Municipality,2022,7510
51,Al Gharrafa - Gharrafat Al Rayyan - Izghawa - Bani Hajer - Al Seej - Rawdat Egdaim - Al Themaid 51,Al Rayyan Municipality,2023,7305
