month,year,month_number,month_name,fog_days,dust_storm_days,haze_days
2011-01-01,2011,1,Jan,1,0,9
2011-02-01,2011,2,Feb,0,0,12
2011-03-01,2011,3,Mar,0,2,5
2011-04-01,2011,4,Apr,0,1,5
2011-05-01,2011,5,May,0,1,7
2011-06-01,2011,6,Jun,0,2,17
2011-07-01,2011,7,Jul,0,2,12
2011-08-01,2011,8,Aug,0,0,13
2011-09-01,2011,9,Sep,0,0,4
2011-10-01,2011,10,Oct,0,0,7
2011-11-01,2011,11,Nov,0,0,8
2011-12-01,2011,12,Dec,0,0,9
2012-01-01,2012,1,Jan,4,0,4
2012-02-01,2012,2,Feb,0,0,15
2012-03-01,2012,3,Mar,0,1,16
2012-04-01,2012,4,Apr,0,0,8
2012-05-01,2012,5,May,0,1,10
2012-06-01,2012,6,Jun,0,0,11
2012-07-01,2012,7,Jul,0,0,8
2012-08-01,2012,8,Aug,0,0,7
2012-09-01,2012,9,Sep,0,0,4
2012-10-01,2012,10,Oct,0,0,3
2012-11-01,2012,11,Nov,0,0,4
2012-12-01,2012,12,Dec,1,0,10
2013-01-01,2013,1,Jan,1,0,7
2013-02-01,2013,2,Feb,1,0,4
2013-03-01,2013,3,Mar,0,0,3
2013-04-01,2013,4,Apr,0,0,5
2013-05-01,2013,5,May,0,0,4
2013-06-01,2013,6,Jun,0,0,17
2013-07-01,2013,7,Jul,0,0,6
2013-08-01,2013,8,Aug,0,0,6
2013-09-01,2013,9,Sep,0,0,4
2013-10-01,2013,10,Oct,1,0,4
2013-11-01,2013,11,Nov,0,0,8
2013-12-01,2013,12,Dec,0,0,7
2014-01-01,2014,1,Jan,1,0,14
2014-02-01,2014,2,Feb,1,0,1
2014-03-01,2014,3,Mar,0,0,6
2014-04-01,2014,4,Apr,0,0,3
2014-05-01,2014,5,May,0,1,3
2014-06-01,2014,6,Jun,0,0,2
2014-07-01,2014,7,Jul,0,0,5
2014-08-01,2014,8,Aug,0,0,6
2014-09-01,2014,9,Sep,0,0,1
2014-10-01,2014,10,Oct,0,0,0
2014-11-01,2014,11,Nov,0,1,1
2014-12-01,2014,12,Dec,1,0,7
2015-01-01,2015,1,Jan,6,0,7
2015-02-01,2015,2,Feb,1,0,12
2015-03-01,2015,3,Mar,0,0,7
2015-04-01,2015,4,Apr,0,2,3
2015-05-01,2015,5,May,0,0,2
2015-06-01,2015,6,Jun,0,0,7
2015-07-01,2015,7,Jul,0,0,18
2015-08-01,2015,8,Aug,0,0,15
2015-09-01,2015,9,Sep,0,0,9
2015-10-01,2015,10,Oct,0,0,7
2015-11-01,2015,11,Nov,0,0,4
2015-12-01,2015,12,Dec,0,0,8
2016-01-01,2016,1,Jan,4,0,4
2016-02-01,2016,2,Feb,1,0,5
2016-03-01,2016,3,Mar,0,0,4
2016-04-01,2016,4,Apr,0,0,2
2016-05-01,2016,5,May,0,0,3
2016-06-01,2016,6,Jun,0,0,5
2016-07-01,2016,7,Jul,0,0,11
2016-08-01,2016,8,Aug,0,1,12
2016-09-01,2016,9,Sep,0,0,2
2016-10-01,2016,10,Oct,0,0,4
2016-11-01,2016,11,Nov,2,0,8
2016-12-01,2016,12,Dec,5,0,3
2017-01-01,2017,1,Jan,3,0,6
2017-02-01,2017,2,Feb,0,0,10
2017-03-01,2017,3,Mar,0,1,5
2017-04-01,2017,4,Apr,0,0,0
2017-05-01,2017,5,May,0,0,3
2017-06-01,2017,6,Jun,1,0,2
2017-07-01,2017,7,Jul,0,0,7
2017-08-01,2017,8,Aug,0,0,7
2017-09-01,2017,9,Sep,0,0,13
2017-10-01,2017,10,Oct,0,0,0
2017-11-01,2017,11,Nov,0,0,2
2017-12-01,2017,12,Dec,5,0,4
2018-01-01,2018,1,Jan,4,0,7
2018-02-01,2018,2,Feb,2,1,6
2018-03-01,2018,3,Mar,1,0,4
2018-04-01,2018,4,Apr,0,1,5
2018-05-01,2018,5,May,0,1,4
2018-06-01,2018,6,Jun,0,0,5
2018-07-01,2018,7,Jul,0,0,11
2018-08-01,2018,8,Aug,0,0,7
2018-09-01,2018,9,Sep,0,0,9
2018-10-01,2018,10,Oct,0,1,7
2018-11-01,2018,11,Nov,0,0,3
2018-12-01,2018,12,Dec,1,0,6
2019-01-01,2019,1,Jan,1,1,8
2019-02-01,2019,2,Feb,0,0,0
2019-03-01,2019,3,Mar,0,0,6
2019-04-01,2019,4,Apr,0,0,4
2019-05-01,2019,5,May,0,0,3
2019-06-01,2019,6,Jun,0,0,0
2019-07-01,2019,7,Jul,0,0,7
2019-08-01,2019,8,Aug,0,0,6
2019-09-01,2019,9,Sep,0,0,9
2019-10-01,2019,10,Oct,0,0,7
2019-11-01,2019,11,Nov,0,0,1
2019-12-01,2019,12,Dec,0,0,7
2020-01-01,2020,1,Jan,0,0,7
2020-02-01,2020,2,Feb,2,0,6
