segment,date,supply,demand,occupancy_rate,average_daily_rate,revenue_per_available_room,sample_properties,sample_rooms,census_properties,census_rooms
1 & 2 Star Hotels+,2015-10,14756,9503,64.4,271.21,174.66,8,476,8,476
1 & 2 Star Hotels+,2016-10,13206,8074,61.1,240.1,146.8,7,426,7,426
1 & 2 Star Hotels+,2017-07,16647,6362,38.2,212.97,81.39,9,537,9,537
1 & 2 Star Hotels+,2019-12,16585,15685,94.6,178.43,168.75,9,535,9,535
1 & 2 Star Hotels+,2021-02,12348,9877,80.0,152.54,122.01,8,441,8,441
1 & 2 Star Hotels+,2021-09,13320,12320,92.5,184.38,170.53,8,444,8,444
1 & 2 Star Hotels+,2024-08,18166,15314,84.3,142.45,120.09,8,444,10,586
3 Star Hotels+,2015-03,34441,26703,77.5,343.44,266.28,12,985,13,1111
3 Star Hotels+,2020-02,52920,41553,78.5,178.14,139.87,18,1764,19,1890
3 Star Hotels+,2020-03,58590,38930,66.4,175.64,116.7,17,1671,19,1890
3 Star Hotels+,2020-04,56700,31449,55.5,178.06,98.76,17,1671,19,1890
3 Star Hotels+,2020-12,53692,39640,73.8,180.62,133.35,15,1513,17,1732
3 Star Hotels+,2022-11,65340,43274,66.2,751.44,497.67,19,2068,21,2178
3 Star Hotels+,2024-12,78430,71091,90.6,235.7,213.65,21,2381,24,2530
3 Star Hotels+,2025-02,70840,65912,93.0,252.96,235.36,21,2381,24,2530
4 Star Hotels+,2014-05,143902,103577,72.0,381.32,274.46,22,4415,23,4642
4 Star Hotels+,2015-04,139230,103646,74.4,399.13,297.12,23,4641,23,4641
4 Star Hotels+,2015-07,146878,81387,55.4,390.9,216.6,24,4738,24,4738
4 Star Hotels+,2016-02,137480,86250,62.7,369.2,231.62,25,4910,25,4910
4 Star Hotels+,2016-03,152086,106749,70.2,391.38,274.71,25,4906,25,4906
4 Star Hotels+,2016-05,159154,92350,58.0,342.89,198.96,26,5134,26,5134
4 Star Hotels+,2018-02,158620,96067,60.6,241.34,146.16,29,5665,29,5665
4 Star Hotels+,2018-07,175615,101701,57.9,232.03,134.37,29,5665,29,5665
4 Star Hotels+,2021-04,176730,112255,63.5,228.44,145.1,31,5891,31,5891
4 Star Hotels+,2021-09,180960,141744,78.3,239.11,187.29,32,6032,32,6032
4 Star Hotels+,2022-01,183830,128382,69.8,250.17,174.71,31,5930,31,5930
4 Star Hotels+,2023-12,235259,176709,75.1,224.18,168.39,40,7429,42,7589
4 Star Hotels+,2024-08,235228,149207,63.4,199.64,126.63,39,7309,42,7588
5 Star Hotels+,2015-07,254262,124262,48.9,732.71,358.09,28,7980,29,8202
5 Star Hotels+,2015-08,260958,142604,54.6,706.33,385.98,29,8196,30,8418
5 Star Hotels+,2016-01,289726,188580,65.1,726.81,473.07,32,9072,34,9346
5 Star Hotels+,2017-02,282296,186452,66.0,634.16,418.85,36,9860,37,10082
5 Star Hotels+,2017-11,324090,186130,57.4,572.65,328.88,39,10581,40,10803
5 Star Hotels+,2019-03,388492,265103,68.2,518.66,353.93,47,12310,48,12532
5 Star Hotels+,2020-05,398567,178260,44.7,446.92,199.89,47,12128,50,12857
5 Star Hotels+,2022-02,396984,205931,51.9,519.94,269.71,55,13956,56,14178
5 Star Hotels+,2022-05,446958,264913,59.3,667.76,395.78,56,14196,57,14418
5 Star Hotels+,2022-07,446710,221806,49.7,650.41,322.95,56,14188,57,14410
5 Star Hotels+,2023-08,570524,265163,46.5,536.69,249.44,74,18334,75,18404
5 Star Hotels+,2024-04,573120,331820,57.9,656.81,380.28,78,19034,79,19104
5 Star Hotels+,2024-05,591604,357719,60.5,580.61,351.07,78,19014,79,19084
Deluxe Apartments+,2014-02,109116,90517,83.0,339.02,281.24,6,3817,7,3897
Deluxe Apartments+,2017-02,122864,95876,78.0,341.39,266.4,10,4388,10,4388
Deluxe Apartments+,2018-03,148459,105034,70.7,325.56,230.33,11,4789,11,4789
Deluxe Apartments+,2019-04,145830,111318,76.3,302.78,231.13,12,4861,12,4861
Deluxe Apartments+,2019-10,150691,118858,78.9,302.93,238.94,12,4861,12,4861
Deluxe Apartments+,2022-09,193680,106975,55.2,372.42,205.7,17,6456,17,6456
Qatar+,2014-12,538470,417321,77.5,529.27,410.19,66,16375,74,17370
Qatar+,2015-05,571299,417343,73.1,539.3,393.97,77,18009,81,18429
Qatar+,2018-05,763344,429634,56.3,373.14,210.01,106,24034,110,24624
Qatar+,2018-06,743760,398253,53.5,401.46,214.97,107,24202,111,24792
Qatar+,2019-12,820353,613890,74.8,405.03,303.1,119,26115,121,26463
Qatar+,2020-05,837248,417420,49.9,333.85,166.44,115,25763,124,27008
Qatar+,2020-06,814800,402857,49.4,357.98,177.0,117,26254,125,27160
Standard Apartments+,2014-06,4980,3612,72.5,260.52,188.96,3,166,3,166
Standard Apartments+,2015-01,5146,4303,83.6,278.27,232.68,3,166,3,166
Standard Apartments+,2015-04,4980,3638,73.1,269.28,196.72,3,166,3,166
Standard Apartments+,2016-08,5146,2957,57.5,224.22,128.84,3,166,3,166
Standard Apartments+,2020-05,31465,19207,61.0,248.76,151.85,6,987,7,1015
Standard Apartments+,2022-10,32612,16300,50.0,271.11,135.51,8,1052,8,1052
Standard Apartments+,2022-11,31560,16064,50.9,1305.95,664.73,8,1052,8,1052
Standard Apartments+,2023-11,31560,21077,66.8,240.5,160.61,8,1052,8,1052
1 & 2 Star Hotels+,2015-11,14280,9534,66.8,274.96,183.57,8,476,8,476
1 & 2 Star Hotels+,2016-01,14756,10502,71.2,290.26,206.58,8,476,8,476
1 & 2 Star Hotels+,2016-02,13328,8823,66.2,267.27,176.93,8,476,8,476
1 & 2 Star Hotels+,2016-09,12780,6885,53.9,256.35,138.1,7,426,7,426
1 & 2 Star Hotels+,2018-06,16110,10304,64.0,172.85,110.56,9,537,9,537
1 & 2 Star Hotels+,2018-07,16647,11221,67.4,173.86,117.19,9,537,9,537
1 & 2 Star Hotels+,2019-04,16140,13867,85.9,170.89,146.83,9,538,9,538
1 & 2 Star Hotels+,2019-06,16140,12706,78.7,169.85,133.71,9,538,9,538
1 & 2 Star Hotels+,2019-08,16678,12835,77.0,163.08,125.5,9,538,9,538
1 & 2 Star Hotels+,2020-04,11880,4568,38.5,156.08,60.02,7,396,7,396
1 & 2 Star Hotels+,2020-06,11880,6925,58.3,138.12,80.51,6,285,7,396
1 & 2 Star Hotels+,2020-09,13230,7852,59.4,139.56,82.83,7,330,8,441
1 & 2 Star Hotels+,2021-06,13320,10041,75.4,155.98,117.58,8,444,8,444
1 & 2 Star Hotels+,2023-03,18166,15735,86.6,164.08,142.12,10,586,10,586
1 & 2 Star Hotels+,2024-06,17580,14467,82.3,144.25,118.7,10,586,10,586
3 Star Hotels+,2014-09,27930,21135,75.7,262.92,198.95,9,709,11,931
3 Star Hotels+,2016-09,35070,19331,55.1,272.6,150.26,12,1043,13,1169
3 Star Hotels+,2016-10,36239,19319,53.3,242.4,129.23,12,1043,13,1169
3 Star Hotels+,2018-04,48600,34531,71.1,173.12,123.0,16,1494,17,1620
3 Star Hotels+,2019-05,52886,35165,66.5,165.85,110.28,17,1580,18,1706
3 Star Hotels+,2020-08,58590,34532,58.9,155.6,91.71,17,1671,19,1890
3 Star Hotels+,2021-01,53692,39818,74.2,180.25,133.67,15,1513,17,1732
3 Star Hotels+,2021-02,50792,42817,84.3,180.69,152.32,16,1595,18,1814
3 Star Hotels+,2021-09,48210,42380,87.9,218.7,192.25,13,1331,16,1607
3 Star Hotels+,2022-01,49259,43146,87.6,229.43,200.96,14,1463,15,1589
3 Star Hotels+,2022-08,49848,39538,79.3,189.49,150.3,15,1593,16,1608
3 Star Hotels+,2022-10,49848,35776,71.8,213.05,152.9,15,1593,16,1608
4 Star Hotels+,2014-07,143902,83766,58.2,354.92,206.6,22,4415,23,4642
4 Star Hotels+,2015-02,129948,105551,81.2,411.8,334.49,23,4641,23,4641
4 Star Hotels+,2017-07,156953,70333,44.8,274.65,123.07,25,5063,25,5063
4 Star Hotels+,2018-03,175615,110917,63.2,238.62,150.71,29,5665,29,5665
4 Star Hotels+,2019-01,175026,115613,66.1,229.14,151.36,29,5646,29,5646
4 Star Hotels+,2019-08,177320,102929,58.0,223.23,129.58,29,5720,29,5720
4 Star Hotels+,2019-10,176886,128747,72.8,230.73,167.94,29,5706,29,5706
4 Star Hotels+,2020-06,170520,92115,54.0,219.07,118.34,28,5573,29,5684
4 Star Hotels+,2020-07,180792,94661,52.4,213.19,111.62,29,5721,30,5832
4 Star Hotels+,2021-02,164948,117842,71.4,221.73,158.41,31,5891,31,5891
4 Star Hotels+,2022-06,176190,113045,64.2,232.6,149.24,31,5873,31,5873
4 Star Hotels+,2022-07,182063,101537,55.8,234.31,130.68,31,5873,31,5873
4 Star Hotels+,2023-06,221340,118794,53.7,214.83,115.3,38,7162,39,7378
4 Star Hotels+,2023-11,227670,160688,70.6,229.68,162.11,40,7429,42,7589
4 Star Hotels+,2024-02,212464,181039,85.2,324.41,276.43,39,7309,42,7588
4 Star Hotels+,2025-03,253828,118361,46.6,221.65,103.36,42,7909,45,8188
5 Star Hotels+,2015-02,229180,164973,72.0,822.82,592.3,28,7963,29,8185
5 Star Hotels+,2015-11,258150,173900,67.4,731.73,492.93,30,8383,31,8605
5 Star Hotels+,2017-03,316262,215456,68.1,624.88,425.7,36,9980,37,10202
5 Star Hotels+,2017-04,309660,219494,70.9,685.96,486.22,37,10100,38,10322
5 Star Hotels+,2017-05,319982,185309,57.9,612.83,354.9,37,10100,38,10322
5 Star Hotels+,2017-06,310200,117254,37.8,625.79,236.55,37,10118,38,10340
5 Star Hotels+,2017-09,315990,163797,51.8,651.72,337.82,38,10311,39,10533
5 Star Hotels+,2018-04,335010,205147,61.2,606.47,371.38,40,10945,41,11167
5 Star Hotels+,2018-10,365242,229176,62.7,532.66,334.22,43,11365,45,11782
5 Star Hotels+,2021-05,427397,237856,55.7,487.21,271.15,53,13565,54,13787
5 Star Hotels+,2021-08,427428,303860,71.1,513.76,365.23,53,13566,54,13788
5 Star Hotels+,2021-12,433938,295536,68.1,611.49,416.46,54,13776,55,13998
5 Star Hotels+,2023-05,564014,293834,52.1,582.09,303.25,74,18194,74,18194
Deluxe Apartments+,2014-09,117180,105599,90.1,326.66,294.38,6,3826,7,3906
Deluxe Apartments+,2014-11,117180,105292,89.9,339.98,305.49,6,3826,7,3906
Deluxe Apartments+,2016-04,119700,87693,73.3,357.77,262.11,7,3990,7,3990
Deluxe Apartments+,2016-06,119700,83066,69.4,333.5,231.44,7,3990,7,3990
Deluxe Apartments+,2017-06,143520,87606,61.0,351.36,214.48,11,4784,11,4784
Deluxe Apartments+,2018-09,146670,103419,70.5,303.85,214.25,12,4889,12,4889
Deluxe Apartments+,2018-10,151559,114309,75.4,298.05,224.79,12,4889,12,4889
Deluxe Apartments+,2021-01,172577,89346,51.8,307.54,159.22,15,5567,15,5567
Deluxe Apartments+,2021-12,196540,116402,59.2,418.55,247.89,17,6340,17,6340
Deluxe Apartments+,2022-03,196540,101635,51.7,413.33,213.74,17,6340,17,6340
Deluxe Apartments+,2023-12,267282,200513,75.0,367.89,275.99,29,8510,30,8622
Deluxe Apartments+,2024-09,258660,186458,72.1,338.13,243.75,28,8468,30,8622
Deluxe Apartments+,2025-02,241528,213493,88.4,413.21,365.24,29,8472,31,8626
Qatar+,2014-03,530534,421764,79.5,533.41,424.05,65,16008,72,17114
Qatar+,2014-08,519312,359398,69.2,487.65,337.49,65,16017,71,16752
