month_year,fog_vis_1_k_m,dust_storm_vis_1_k_m,haze_vis_5_k_m
2024-12,2,0,7
2024-11,2,0,4
2024-10,0,0,3
2024-09,0,0,4
2024-08,0,0,9
2024-07,0,0,4
2024-06,0,0,4
2024-05,0,0,2
2024-04,0,0,2
2024-03,0,0,5
2024-02,0,0,2
2024-01,0,0,2
2023-12,1,0,8
2023-11,0,0,3
2023-10,0,0,9
2023-09,0,0,4
2023-08,0,0,11
2023-07,0,0,7
2023-06,0,0,5
2023-05,0,0,3
2023-04,0,0,0
2023-03,0,0,2
2023-02,0,0,4
2023-01,0,0,13
2022-12,0,0,4
2022-11,0,0,2
2022-10,0,0,4
2022-09,0,1,6
2022-08,0,0,10
2022-07,0,0,16
2022-06,0,0,7
2022-05,0,2,11
2022-04,0,0,9
2022-03,0,0,12
2022-02,1,0,4
2022-01,0,0,12
2021-12,0,0,3
2021-11,0,0,2
2021-10,0,0,3
2021-09,0,0,2
2021-08,0,0,6
2021-07,0,0,6
2021-06,0,0,10
2021-05,0,0,1
2021-04,0,0,3
2021-03,0,2,5
2021-02,1,0,4
2021-01,0,0,6
2020-12,0,0,5
2020-11,0,0,0
2020-10,0,0,0
2020-09,0,0,2
2020-08,0,0,3
2020-07,0,0,6
2020-06,0,0,1
2020-05,0,0,4
2020-04,0,0,5
2020-03,2,0,7
2020-02,2,0,6
2020-01,0,0,7
2019-12,0,0,7
2019-11,0,0,1
2019-10,0,0,7
2019-09,0,0,9
2019-08,0,0,6
2019-07,0,0,7
2019-06,0,0,0
2019-05,0,0,3
2019-04,0,0,4
2019-03,0,0,6
2019-02,0,0,0
2019-01,1,1,8
2018-12,1,0,6
2018-11,0,0,3
2018-10,0,1,7
2018-09,0,0,9
2018-08,0,0,7
2018-07,0,0,11
2018-06,0,0,5
2018-05,0,1,4
2018-04,0,1,5
2018-03,1,0,4
2018-02,2,1,6
2018-01,4,0,7
2017-12,5,0,4
2017-11,0,0,2
2017-10,0,0,0
2017-09,0,0,13
2017-08,0,0,7
2017-07,0,0,7
2017-06,1,0,2
2017-05,0,0,3
2017-04,0,0,0
2017-03,0,1,5
2017-02,0,0,10
2017-01,3,0,6
2016-12,5,0,3
2016-11,2,0,8
2016-10,0,0,4
2016-09,0,0,2
2016-08,0,1,12
2016-07,0,0,11
2016-06,0,0,5
2016-05,0,0,3
2016-04,0,0,2
2016-03,0,0,4
2016-02,1,0,5
2016-01,4,0,4
2015-12,0,0,8
2015-11,0,0,4
2015-10,0,0,7
2015-09,0,0,9
2015-08,0,0,15
2015-07,0,0,18
2015-06,0,0,7
2015-05,0,0,2
2015-04,0,2,3
2015-03,0,0,7
2015-02,1,0,12
2015-01,6,0,7
2014-12,1,0,7
2014-11,0,1,1
2014-10,0,0,0
2014-09,0,0,1
2014-08,0,0,6
2014-07,0,0,5
2014-06,0,0,2
2014-05,0,1,3
2014-04,0,0,3
2014-03,0,0,6
2014-02,1,0,1
2014-01,1,0,14
2013-12,0,0,7
2013-11,0,0,8
2013-10,1,0,4
2013-09,0,0,4
2013-08,0,0,6
2013-07,0,0,6
2013-06,0,0,17
2013-05,0,0,4
2013-04,0,0,5
2013-03,0,0,3
2013-02,1,0,4
2013-01,1,0,7
2012-12,1,0,10
2012-11,0,0,4
2012-10,0,0,3
2012-09,0,0,4
2012-08,0,0,7
2012-07,0,0,8
2012-06,0,0,11
2012-05,0,1,10
2012-04,0,0,8
2012-03,0,1,16
2012-02,0,0,15
2012-01,4,0,4
2011-12,0,0,9
2011-11,0,0,8
2011-10,0,0,7
2011-09,0,0,4
2011-08,0,0,13
2011-07,0,2,12
2011-06,0,2,17
2011-05,0,1,7
2011-04,0,1,5
2011-03,0,2,5
2011-02,0,0,12
2011-01,1,0,9
