month,year,segment,segment_type,room_nights_available,room_nights_sold,occupancy_pct,avg_daily_rate_qar,revpar_qar,properties_counted,rooms_counted
2014-01-01,2014,1 & 2 Star Hotels,Hotel segment,13981,11817,84.5,277.05,234.17,7,451
2014-02-01,2014,1 & 2 Star Hotels,Hotel segment,12628,10271,81.3,258.58,210.32,7,451
2014-03-01,2014,1 & 2 Star Hotels,Hotel segment,13981,11922,85.3,257.05,219.19,7,451
2014-04-01,2014,1 & 2 Star Hotels,Hotel segment,13530,10851,80.2,252.77,202.71,7,451
2014-05-01,2014,1 & 2 Star Hotels,Hotel segment,13981,11036,78.9,253.29,199.93,7,451
2014-06-01,2014,1 & 2 Star Hotels,Hotel segment,13530,10535,77.9,255.16,198.67,7,451
2014-07-01,2014,1 & 2 Star Hotels,Hotel segment,13981,10097,72.2,254.17,183.56,7,451
2014-08-01,2014,1 & 2 Star Hotels,Hotel segment,13981,9805,70.1,265.07,185.9,7,451
2014-09-01,2014,1 & 2 Star Hotels,Hotel segment,13530,10830,80.0,266.44,213.27,7,451
2014-10-01,2014,1 & 2 Star Hotels,Hotel segment,13981,11699,83.7,281.59,235.63,7,451
2014-11-01,2014,1 & 2 Star Hotels,Hotel segment,13530,12134,89.7,278.13,249.44,7,451
2014-12-01,2014,1 & 2 Star Hotels,Hotel segment,13981,12587,90.0,286.11,257.57,7,451
2015-01-01,2015,1 & 2 Star Hotels,Hotel segment,13981,12827,91.7,294.15,269.86,7,451
2015-02-01,2015,1 & 2 Star Hotels,Hotel segment,12628,11215,88.8,285.36,253.44,7,451
2015-03-01,2015,1 & 2 Star Hotels,Hotel segment,13981,12102,86.6,293.98,254.47,7,451
2015-04-01,2015,1 & 2 Star Hotels,Hotel segment,13530,8657,64.0,278.79,178.38,7,451
2015-05-01,2015,1 & 2 Star Hotels,Hotel segment,14756,10453,70.8,278.1,197.01,8,476
2015-06-01,2015,1 & 2 Star Hotels,Hotel segment,14280,9787,68.5,276.35,189.4,8,476
2015-07-01,2015,1 & 2 Star Hotels,Hotel segment,14756,8554,58.0,276.29,160.17,8,476
2015-08-01,2015,1 & 2 Star Hotels,Hotel segment,14756,8285,56.1,278.09,156.14,8,476
2015-09-01,2015,1 & 2 Star Hotels,Hotel segment,14280,9302,65.1,290.67,189.34,8,476
2015-10-01,2015,1 & 2 Star Hotels,Hotel segment,14756,9503,64.4,271.21,174.66,8,476
2015-11-01,2015,1 & 2 Star Hotels,Hotel segment,14280,9534,66.8,274.96,183.57,8,476
2015-12-01,2015,1 & 2 Star Hotels,Hotel segment,14756,10133,68.7,281.01,192.97,8,476
2016-01-01,2016,1 & 2 Star Hotels,Hotel segment,14756,10502,71.2,290.26,206.58,8,476
2016-02-01,2016,1 & 2 Star Hotels,Hotel segment,13328,8823,66.2,267.27,176.93,8,476
2016-03-01,2016,1 & 2 Star Hotels,Hotel segment,14756,10457,70.9,292.25,207.11,8,476
2016-04-01,2016,1 & 2 Star Hotels,Hotel segment,14280,8750,61.3,266.47,163.28,8,476
2016-05-01,2016,1 & 2 Star Hotels,Hotel segment,14756,8301,56.3,261.8,147.28,8,476
2016-06-01,2016,1 & 2 Star Hotels,Hotel segment,14280,6239,43.7,282.86,123.58,8,476
2016-07-01,2016,1 & 2 Star Hotels,Hotel segment,13206,5544,42.0,266.47,111.87,7,426
2016-08-01,2016,1 & 2 Star Hotels,Hotel segment,13206,6138,46.5,262.85,122.17,7,426
2016-09-01,2016,1 & 2 Star Hotels,Hotel segment,12780,6885,53.9,256.35,138.1,7,426
2016-10-01,2016,1 & 2 Star Hotels,Hotel segment,13206,8074,61.1,240.1,146.8,7,426
2016-11-01,2016,1 & 2 Star Hotels,Hotel segment,12780,9193,71.9,247.44,177.99,7,426
2016-12-01,2016,1 & 2 Star Hotels,Hotel segment,14911,9792,65.7,243.18,159.7,8,481
2017-01-01,2017,1 & 2 Star Hotels,Hotel segment,14911,10608,71.1,253.56,180.38,8,481
2017-02-01,2017,1 & 2 Star Hotels,Hotel segment,13468,10080,74.8,243.84,182.5,8,481
2017-03-01,2017,1 & 2 Star Hotels,Hotel segment,14911,10994,73.7,239.51,176.59,8,481
2017-04-01,2017,1 & 2 Star Hotels,Hotel segment,14430,11036,76.5,246.17,188.27,8,481
2017-05-01,2017,1 & 2 Star Hotels,Hotel segment,14911,9221,61.8,233.35,144.3,8,481
2017-06-01,2017,1 & 2 Star Hotels,Hotel segment,14430,5145,35.7,227.85,81.24,8,481
2017-07-01,2017,1 & 2 Star Hotels,Hotel segment,16647,6362,38.2,212.97,81.39,9,537
2017-08-01,2017,1 & 2 Star Hotels,Hotel segment,16647,8144,48.9,188.92,92.42,9,537
2017-09-01,2017,1 & 2 Star Hotels,Hotel segment,16110,7978,49.5,189.26,93.72,9,537
2017-10-01,2017,1 & 2 Star Hotels,Hotel segment,16647,9575,57.5,183.6,105.6,9,537
2017-11-01,2017,1 & 2 Star Hotels,Hotel segment,16110,10466,65.0,182.26,118.4,9,537
2017-12-01,2017,1 & 2 Star Hotels,Hotel segment,16647,11217,67.4,180.13,121.38,9,537
2018-01-01,2018,1 & 2 Star Hotels,Hotel segment,16647,11016,66.2,179.48,118.77,9,537
2018-02-01,2018,1 & 2 Star Hotels,Hotel segment,15036,10399,69.2,176.8,122.28,9,537
2018-03-01,2018,1 & 2 Star Hotels,Hotel segment,16647,12608,75.7,177.28,134.27,9,537
2018-04-01,2018,1 & 2 Star Hotels,Hotel segment,16110,11613,72.1,175.59,126.58,9,537
2018-05-01,2018,1 & 2 Star Hotels,Hotel segment,16647,11718,70.4,170.04,119.69,9,537
2018-06-01,2018,1 & 2 Star Hotels,Hotel segment,16110,10304,64.0,172.85,110.56,9,537
2018-07-01,2018,1 & 2 Star Hotels,Hotel segment,16647,11221,67.4,173.86,117.19,9,537
2018-08-01,2018,1 & 2 Star Hotels,Hotel segment,16647,10678,64.1,171.97,110.31,9,537
2018-09-01,2018,1 & 2 Star Hotels,Hotel segment,16110,11474,71.2,167.35,119.19,9,537
2018-10-01,2018,1 & 2 Star Hotels,Hotel segment,16647,13014,78.2,173.2,135.4,9,537
2018-11-01,2018,1 & 2 Star Hotels,Hotel segment,16110,12584,78.1,176.04,137.51,9,537
